"x","y","z","count","sum","average","deviation"
"748316.3","67.75","197264.5","4894","965412463","197264.5","0"
"748337.4","63.27","197264.5","4894","965412463","197264.5","0"
"748343.9","60.15","197264.5","4894","965412463","197264.5","0"
"748351.3","50.79","197264.5","4894","965412463","197264.5","0"
"748369.3","38.23","197264.5","4894","965412463","197264.5","0"
"748377.4","41.78","197264.5","4894","965412463","197264.5","0"
"25.21","197264.5","748403.2","14686","10990775298.599373","748384.5361976967","18.6638023032574"
"25.02","197264.5","748386.9","14686","10990775298.599373","748384.5361976967","2.3638023033272475"
"29.94","197264.5","748363.5","14686","10990775298.599373","748384.5361976967","-21.036197696696036"
"47.73","197264.5","748340.6","4894","3662378896.3996944","748340.5999999376","6.239861249923706e-8"
"62.98","197264.5","748328.9","9790","7326064073.998841","748321.1515831299","7.748416870133951"
"70.59","197264.5","748329","14686","10989840738.59818","748320.9000815866","8.099918413441628"
"71.64","197264.5","748320.3","14686","10989840738.59818","748320.9000815866","-0.6000815865118057"
"67.21","197264.5","748313.4","19582","14653659032.995106","748322.9002653001","-9.500265300041065"
"748316.3","67.75","197264.5","4894","965412463","197264.5","0"
"748337.4","63.27","197264.5","4894","965412463","197264.5","0"
"748343.9","60.15","197264.5","4894","965412463","197264.5","0"
"748351.3","50.79","197264.5","4894","965412463","197264.5","0"
"748369.3","38.23","197264.5","4894","965412463","197264.5","0"
"748377.4","41.78","197264.5","4894","965412463","197264.5","0"
"25.21","197264.5","748403.2","14686","10990775298.599373","748384.5361976967","18.6638023032574"
"25.02","197264.5","748386.9","14686","10990775298.599373","748384.5361976967","2.3638023033272475"
"29.94","197264.5","748363.5","14686","10990775298.599373","748384.5361976967","-21.036197696696036"
"47.73","197264.5","748340.6","4894","3662378896.3996944","748340.5999999376","6.239861249923706e-8"
"62.98","197264.5","748328.9","9790","7326064073.998841","748321.1515831299","7.748416870133951"
"70.59","197264.5","748329","14686","10989840738.59818","748320.9000815866","8.099918413441628"
"71.64","197264.5","748320.3","14686","10989840738.59818","748320.9000815866","-0.6000815865118057"
"67.21","197264.5","748313.4","19582","14653659032.995106","748322.9002653001","-9.500265300041065"
"748316.3","67.75","197264.5","4894","965412463","197264.5","0"
"748337.4","63.27","197264.5","4894","965412463","197264.5","0"
"748343.9","60.15","197264.5","4894","965412463","197264.5","0"
"748351.3","50.79","197264.5","4894","965412463","197264.5","0"
"748369.3","38.23","197264.5","4894","965412463","197264.5","0"
"748377.4","41.78","197264.5","4894","965412463","197264.5","0"
"25.21","197264.5","748403.2","14686","10990775298.599373","748384.5361976967","18.6638023032574"
"25.02","197264.5","748386.9","14686","10990775298.599373","748384.5361976967","2.3638023033272475"
"29.94","197264.5","748363.5","14686","10990775298.599373","748384.5361976967","-21.036197696696036"
"47.73","197264.5","748340.6","4894","3662378896.3996944","748340.5999999376","6.239861249923706e-8"
"62.98","197264.5","748328.9","9790","7326064073.998841","748321.1515831299","7.748416870133951"
"70.59","197264.5","748329","14686","10989840738.59818","748320.9000815866","8.099918413441628"
"71.64","197264.5","748320.3","14686","10989840738.59818","748320.9000815866","-0.6000815865118057"
"67.21","197264.5","748313.4","19582","14653659032.995106","748322.9002653001","-9.500265300041065"
"748316.3","67.75","197264.5","4894","965412463","197264.5","0"
